2026-03-23 17:10:44.214 | INFO     | __main__:handle_disconnect:56 | Client disconnected
2026-03-23 17:10:46.404 | INFO     | __main__:handle_connect:48 | Client connected
2026-03-23 17:10:46.405 | INFO     | src.crawler.crawler_manager:register_crawler:30 | 注册爬虫: 日本煤炉
2026-03-23 17:10:46.406 | INFO     | src.crawler.crawler_manager:load_scrapers:261 | 动态加载爬虫: 日本煤炉 (MercariCrawler)
2026-03-23 17:10:49.703 | INFO     | __main__:handle_disconnect:56 | Client disconnected
2026-03-23 17:10:52.104 | INFO     | __main__:handle_connect:48 | Client connected
2026-03-23 17:10:52.105 | INFO     | src.crawler.crawler_manager:register_crawler:30 | 注册爬虫: 日本煤炉
2026-03-23 17:10:52.105 | INFO     | src.crawler.crawler_manager:load_scrapers:261 | 动态加载爬虫: 日本煤炉 (MercariCrawler)
2026-03-23 17:14:06.077 | INFO     | __main__:handle_connect:48 | Client connected
2026-03-23 17:14:06.080 | INFO     | src.crawler.crawler_manager:register_crawler:30 | 注册爬虫: 日本煤炉
2026-03-23 17:14:06.080 | INFO     | src.crawler.crawler_manager:load_scrapers:261 | 动态加载爬虫: 日本煤炉 (MercariCrawler)
2026-03-23 17:14:11.134 | INFO     | __main__:handle_connect:48 | Client connected
2026-03-23 17:14:11.135 | INFO     | src.crawler.crawler_manager:register_crawler:30 | 注册爬虫: 日本煤炉
2026-03-23 17:14:11.135 | INFO     | src.crawler.crawler_manager:load_scrapers:261 | 动态加载爬虫: 日本煤炉 (MercariCrawler)
2026-03-23 17:14:31.326 | INFO     | __main__:handle_disconnect:56 | Client disconnected
2026-03-23 17:14:33.095 | INFO     | __main__:handle_connect:48 | Client connected
2026-03-23 17:14:33.096 | INFO     | src.crawler.crawler_manager:register_crawler:30 | 注册爬虫: 日本煤炉
2026-03-23 17:14:33.097 | INFO     | src.crawler.crawler_manager:load_scrapers:261 | 动态加载爬虫: 日本煤炉 (MercariCrawler)
2026-03-23 17:16:45.209 | INFO     | __main__:handle_connect:48 | Client connected
2026-03-23 17:16:45.213 | INFO     | src.crawler.crawler_manager:register_crawler:30 | 注册爬虫: 日本煤炉
2026-03-23 17:16:45.213 | INFO     | src.crawler.crawler_manager:load_scrapers:261 | 动态加载爬虫: 日本煤炉 (MercariCrawler)
2026-03-23 17:16:46.052 | INFO     | __main__:handle_connect:48 | Client connected
2026-03-23 17:16:46.053 | INFO     | src.crawler.crawler_manager:register_crawler:30 | 注册爬虫: 日本煤炉
2026-03-23 17:16:46.054 | INFO     | src.crawler.crawler_manager:load_scrapers:261 | 动态加载爬虫: 日本煤炉 (MercariCrawler)
2026-03-23 17:16:56.316 | INFO     | __main__:handle_connect:48 | Client connected
2026-03-23 17:16:56.320 | INFO     | src.crawler.crawler_manager:register_crawler:30 | 注册爬虫: 日本煤炉
2026-03-23 17:16:56.320 | INFO     | src.crawler.crawler_manager:load_scrapers:261 | 动态加载爬虫: 日本煤炉 (MercariCrawler)
2026-03-23 17:16:58.365 | INFO     | __main__:handle_connect:48 | Client connected
2026-03-23 17:16:58.366 | INFO     | src.crawler.crawler_manager:register_crawler:30 | 注册爬虫: 日本煤炉
2026-03-23 17:16:58.366 | INFO     | src.crawler.crawler_manager:load_scrapers:261 | 动态加载爬虫: 日本煤炉 (MercariCrawler)
2026-03-23 17:17:08.123 | INFO     | __main__:handle_disconnect:56 | Client disconnected
2026-03-23 17:17:09.740 | INFO     | __main__:handle_connect:48 | Client connected
2026-03-23 17:17:09.741 | INFO     | src.crawler.crawler_manager:register_crawler:30 | 注册爬虫: 日本煤炉
2026-03-23 17:17:09.742 | INFO     | src.crawler.crawler_manager:load_scrapers:261 | 动态加载爬虫: 日本煤炉 (MercariCrawler)
2026-03-23 17:17:59.312 | INFO     | __main__:handle_connect:48 | Client connected
2026-03-23 17:17:59.328 | INFO     | src.crawler.crawler_manager:register_crawler:30 | 注册爬虫: 日本煤炉
2026-03-23 17:17:59.329 | INFO     | src.crawler.crawler_manager:load_scrapers:261 | 动态加载爬虫: 日本煤炉 (MercariCrawler)
2026-03-23 17:18:00.583 | INFO     | __main__:handle_connect:48 | Client connected
2026-03-23 17:18:00.584 | INFO     | src.crawler.crawler_manager:register_crawler:30 | 注册爬虫: 日本煤炉
2026-03-23 17:18:00.584 | INFO     | src.crawler.crawler_manager:load_scrapers:261 | 动态加载爬虫: 日本煤炉 (MercariCrawler)
2026-03-23 17:18:09.062 | INFO     | __main__:handle_connect:48 | Client connected
2026-03-23 17:18:09.066 | INFO     | src.crawler.crawler_manager:register_crawler:30 | 注册爬虫: 日本煤炉
2026-03-23 17:18:09.066 | INFO     | src.crawler.crawler_manager:load_scrapers:261 | 动态加载爬虫: 日本煤炉 (MercariCrawler)
2026-03-23 17:18:09.986 | INFO     | __main__:handle_connect:48 | Client connected
2026-03-23 17:18:09.987 | INFO     | src.crawler.crawler_manager:register_crawler:30 | 注册爬虫: 日本煤炉
2026-03-23 17:18:09.987 | INFO     | src.crawler.crawler_manager:load_scrapers:261 | 动态加载爬虫: 日本煤炉 (MercariCrawler)
2026-03-23 17:18:16.703 | INFO     | __main__:handle_disconnect:56 | Client disconnected
2026-03-23 17:18:18.727 | INFO     | __main__:handle_connect:48 | Client connected
2026-03-23 17:18:18.729 | INFO     | src.crawler.crawler_manager:register_crawler:30 | 注册爬虫: 日本煤炉
2026-03-23 17:18:18.729 | INFO     | src.crawler.crawler_manager:load_scrapers:261 | 动态加载爬虫: 日本煤炉 (MercariCrawler)
2026-03-23 17:18:22.357 | INFO     | routes:run_crawler_sync:196 | 开始执行爬虫任务: 日本煤炉 [Dior]
2026-03-23 17:18:22.358 | ERROR    | routes:run_crawler_sync:206 | 爬虫执行出错: changelist must be an iterable of select.kevent objects
2026-03-23 17:19:22.041 | INFO     | __main__:handle_connect:48 | Client connected
2026-03-23 17:19:22.044 | INFO     | src.crawler.crawler_manager:register_crawler:30 | 注册爬虫: 日本煤炉
2026-03-23 17:19:22.044 | INFO     | src.crawler.crawler_manager:load_scrapers:261 | 动态加载爬虫: 日本煤炉 (MercariCrawler)
2026-03-23 17:19:22.354 | INFO     | __main__:handle_connect:48 | Client connected
2026-03-23 17:19:22.355 | INFO     | src.crawler.crawler_manager:register_crawler:30 | 注册爬虫: 日本煤炉
2026-03-23 17:19:22.355 | INFO     | src.crawler.crawler_manager:load_scrapers:261 | 动态加载爬虫: 日本煤炉 (MercariCrawler)
2026-03-23 17:19:33.336 | INFO     | __main__:handle_connect:48 | Client connected
2026-03-23 17:19:33.342 | INFO     | src.crawler.crawler_manager:register_crawler:30 | 注册爬虫: 日本煤炉
2026-03-23 17:19:33.342 | INFO     | src.crawler.crawler_manager:load_scrapers:261 | 动态加载爬虫: 日本煤炉 (MercariCrawler)
2026-03-23 17:19:35.734 | INFO     | __main__:handle_connect:48 | Client connected
2026-03-23 17:19:35.736 | INFO     | src.crawler.crawler_manager:register_crawler:30 | 注册爬虫: 日本煤炉
2026-03-23 17:19:35.737 | INFO     | src.crawler.crawler_manager:load_scrapers:261 | 动态加载爬虫: 日本煤炉 (MercariCrawler)
2026-03-23 17:19:45.368 | INFO     | __main__:handle_disconnect:56 | Client disconnected
2026-03-23 17:19:46.830 | INFO     | __main__:handle_connect:48 | Client connected
2026-03-23 17:19:46.832 | INFO     | src.crawler.crawler_manager:register_crawler:30 | 注册爬虫: 日本煤炉
2026-03-23 17:19:46.832 | INFO     | src.crawler.crawler_manager:load_scrapers:261 | 动态加载爬虫: 日本煤炉 (MercariCrawler)
2026-03-23 17:19:49.693 | INFO     | routes:run_crawler_in_thread:196 | 开始执行爬虫任务: 日本煤炉 [Dior]
2026-03-23 17:19:49.694 | ERROR    | routes:run_crawler_in_thread:214 | 爬虫执行出错: changelist must be an iterable of select.kevent objects
2026-03-23 17:21:49.347 | INFO     | __main__:handle_connect:48 | Client connected
2026-03-23 17:21:49.350 | INFO     | src.crawler.crawler_manager:register_crawler:30 | 注册爬虫: 日本煤炉
2026-03-23 17:21:49.350 | INFO     | src.crawler.crawler_manager:load_scrapers:261 | 动态加载爬虫: 日本煤炉 (MercariCrawler)
2026-03-23 17:21:53.032 | INFO     | __main__:handle_connect:48 | Client connected
2026-03-23 17:21:53.033 | INFO     | src.crawler.crawler_manager:register_crawler:30 | 注册爬虫: 日本煤炉
2026-03-23 17:21:53.033 | INFO     | src.crawler.crawler_manager:load_scrapers:261 | 动态加载爬虫: 日本煤炉 (MercariCrawler)
2026-03-23 17:22:05.930 | INFO     | __main__:handle_disconnect:56 | Client disconnected
2026-03-23 17:22:07.660 | INFO     | __main__:handle_connect:48 | Client connected
2026-03-23 17:22:07.661 | INFO     | src.crawler.crawler_manager:register_crawler:30 | 注册爬虫: 日本煤炉
2026-03-23 17:22:07.661 | INFO     | src.crawler.crawler_manager:load_scrapers:261 | 动态加载爬虫: 日本煤炉 (MercariCrawler)
2026-03-23 17:22:11.199 | INFO     | routes:run_crawler_in_thread:196 | 开始执行爬虫任务: 日本煤炉 [Dior]
2026-03-23 17:22:11.202 | ERROR    | routes:run_crawler_in_thread:211 | 爬虫执行出错: changelist must be an iterable of select.kevent objects
2026-03-23 17:22:40.014 | INFO     | __main__:handle_connect:48 | Client connected
2026-03-23 17:22:40.015 | INFO     | src.crawler.crawler_manager:register_crawler:30 | 注册爬虫: 日本煤炉
2026-03-23 17:22:40.015 | INFO     | src.crawler.crawler_manager:load_scrapers:261 | 动态加载爬虫: 日本煤炉 (MercariCrawler)
2026-03-23 17:22:49.343 | INFO     | __main__:handle_disconnect:56 | Client disconnected
2026-03-23 17:23:04.025 | INFO     | __main__:handle_connect:48 | Client connected
2026-03-23 17:23:04.028 | INFO     | src.crawler.crawler_manager:register_crawler:30 | 注册爬虫: 日本煤炉
2026-03-23 17:23:04.029 | INFO     | src.crawler.crawler_manager:load_scrapers:261 | 动态加载爬虫: 日本煤炉 (MercariCrawler)
2026-03-23 17:23:04.344 | INFO     | __main__:handle_connect:48 | Client connected
2026-03-23 17:23:04.345 | INFO     | src.crawler.crawler_manager:register_crawler:30 | 注册爬虫: 日本煤炉
2026-03-23 17:23:04.346 | INFO     | src.crawler.crawler_manager:load_scrapers:261 | 动态加载爬虫: 日本煤炉 (MercariCrawler)
2026-03-23 17:23:12.339 | INFO     | __main__:handle_connect:48 | Client connected
2026-03-23 17:23:12.342 | INFO     | src.crawler.crawler_manager:register_crawler:30 | 注册爬虫: 日本煤炉
2026-03-23 17:23:12.342 | INFO     | src.crawler.crawler_manager:load_scrapers:261 | 动态加载爬虫: 日本煤炉 (MercariCrawler)
2026-03-23 17:23:13.011 | INFO     | __main__:handle_connect:48 | Client connected
2026-03-23 17:23:13.012 | INFO     | src.crawler.crawler_manager:register_crawler:30 | 注册爬虫: 日本煤炉
2026-03-23 17:23:13.012 | INFO     | src.crawler.crawler_manager:load_scrapers:261 | 动态加载爬虫: 日本煤炉 (MercariCrawler)
2026-03-23 17:23:14.343 | INFO     | __main__:handle_connect:48 | Client connected
2026-03-23 17:23:14.347 | INFO     | src.crawler.crawler_manager:register_crawler:30 | 注册爬虫: 日本煤炉
2026-03-23 17:23:14.347 | INFO     | src.crawler.crawler_manager:load_scrapers:261 | 动态加载爬虫: 日本煤炉 (MercariCrawler)
2026-03-23 17:23:15.023 | INFO     | __main__:handle_connect:48 | Client connected
2026-03-23 17:23:15.024 | INFO     | src.crawler.crawler_manager:register_crawler:30 | 注册爬虫: 日本煤炉
2026-03-23 17:23:15.025 | INFO     | src.crawler.crawler_manager:load_scrapers:261 | 动态加载爬虫: 日本煤炉 (MercariCrawler)
2026-03-23 17:23:16.343 | INFO     | __main__:handle_connect:48 | Client connected
2026-03-23 17:23:16.347 | INFO     | src.crawler.crawler_manager:register_crawler:30 | 注册爬虫: 日本煤炉
2026-03-23 17:23:16.347 | INFO     | src.crawler.crawler_manager:load_scrapers:261 | 动态加载爬虫: 日本煤炉 (MercariCrawler)
2026-03-23 17:23:17.018 | INFO     | __main__:handle_connect:48 | Client connected
2026-03-23 17:23:17.019 | INFO     | src.crawler.crawler_manager:register_crawler:30 | 注册爬虫: 日本煤炉
2026-03-23 17:23:17.019 | INFO     | src.crawler.crawler_manager:load_scrapers:261 | 动态加载爬虫: 日本煤炉 (MercariCrawler)
2026-03-23 17:23:18.342 | INFO     | __main__:handle_connect:48 | Client connected
2026-03-23 17:23:18.345 | INFO     | src.crawler.crawler_manager:register_crawler:30 | 注册爬虫: 日本煤炉
2026-03-23 17:23:18.345 | INFO     | src.crawler.crawler_manager:load_scrapers:261 | 动态加载爬虫: 日本煤炉 (MercariCrawler)
2026-03-23 17:23:19.020 | INFO     | __main__:handle_connect:48 | Client connected
2026-03-23 17:23:19.021 | INFO     | src.crawler.crawler_manager:register_crawler:30 | 注册爬虫: 日本煤炉
2026-03-23 17:23:19.022 | INFO     | src.crawler.crawler_manager:load_scrapers:261 | 动态加载爬虫: 日本煤炉 (MercariCrawler)
2026-03-23 17:23:36.011 | INFO     | __main__:handle_connect:48 | Client connected
2026-03-23 17:23:36.014 | INFO     | src.crawler.crawler_manager:register_crawler:30 | 注册爬虫: 日本煤炉
2026-03-23 17:23:36.014 | INFO     | src.crawler.crawler_manager:load_scrapers:261 | 动态加载爬虫: 日本煤炉 (MercariCrawler)
2026-03-23 17:23:42.221 | INFO     | __main__:handle_connect:48 | Client connected
2026-03-23 17:23:42.222 | INFO     | src.crawler.crawler_manager:register_crawler:30 | 注册爬虫: 日本煤炉
2026-03-23 17:23:42.222 | INFO     | src.crawler.crawler_manager:load_scrapers:261 | 动态加载爬虫: 日本煤炉 (MercariCrawler)
2026-03-23 17:23:46.195 | INFO     | routes:run_crawler_with_subprocess:196 | 开始执行爬虫任务: 日本煤炉 [Dior]
2026-03-23 17:23:46.196 | ERROR    | routes:run_crawler_with_subprocess:239 | 爬虫执行出错: name 'sys' is not defined
2026-03-23 17:24:19.013 | INFO     | __main__:handle_connect:48 | Client connected
2026-03-23 17:24:19.016 | INFO     | src.crawler.crawler_manager:register_crawler:30 | 注册爬虫: 日本煤炉
2026-03-23 17:24:19.016 | INFO     | src.crawler.crawler_manager:load_scrapers:261 | 动态加载爬虫: 日本煤炉 (MercariCrawler)
2026-03-23 17:24:19.335 | INFO     | __main__:handle_connect:48 | Client connected
2026-03-23 17:24:19.336 | INFO     | src.crawler.crawler_manager:register_crawler:30 | 注册爬虫: 日本煤炉
2026-03-23 17:24:19.337 | INFO     | src.crawler.crawler_manager:load_scrapers:261 | 动态加载爬虫: 日本煤炉 (MercariCrawler)
2026-03-23 17:24:35.016 | INFO     | __main__:handle_connect:48 | Client connected
2026-03-23 17:24:35.021 | INFO     | src.crawler.crawler_manager:register_crawler:30 | 注册爬虫: 日本煤炉
2026-03-23 17:24:35.021 | INFO     | src.crawler.crawler_manager:load_scrapers:261 | 动态加载爬虫: 日本煤炉 (MercariCrawler)
2026-03-23 17:24:36.344 | INFO     | __main__:handle_connect:48 | Client connected
